Periodo;Año;Municipio;Tipo;Valor;;;;;;;;;
1/1/2016;2016;Ayacucho;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2016;2016;Ayacucho;Total de víctimas de lesiones dolosas;9;;;;;;;;;
1/1/2016;2016;Ayacucho;Total de víctimas de otros delitos contra la integridad sexual;1;;;;;;;;;
1/1/2016;2016;Ayacucho;Total de víctimas de violaciones;1;;;;;;;;;
1/1/2017;2017;Ayacucho;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2017;2017;Ayacucho;Total de víctimas de lesiones dolosas;16;;;;;;;;;
1/1/2017;2017;Ayacucho;Total de víctimas de otros delitos contra la integridad sexual;-;;;;;;;;;
1/1/2017;2017;Ayacucho;Total de víctimas de violaciones;2;;;;;;;;;
1/1/2018;2018;Ayacucho;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2018;2018;Ayacucho;Total de víctimas de lesiones dolosas;22;;;;;;;;;
1/1/2018;2018;Ayacucho;Total de víctimas de otros delitos contra la integridad sexual;1;;;;;;;;;
1/1/2018;2018;Ayacucho;Total de víctimas de violaciones;1;;;;;;;;;
1/1/2019;2019;Ayacucho;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2019;2019;Ayacucho;Total de víctimas de lesiones dolosas;20;;;;;;;;;
1/1/2019;2019;Ayacucho;Total de víctimas de otros delitos contra la integridad sexual;1;;;;;;;;;
1/1/2019;2019;Ayacucho;Total de víctimas de violaciones;2;;;;;;;;;
1/1/2020;2020;Ayacucho;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2020;2020;Ayacucho;Total de víctimas de lesiones dolosas;41;;;;;;;;;
1/1/2020;2020;Ayacucho;Total de víctimas de otros delitos contra la integridad sexual;3;;;;;;;;;
1/1/2020;2020;Ayacucho;Total de víctimas de violaciones;1;;;;;;;;;
1/1/2021;2021;Ayacucho;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2021;2021;Ayacucho;Total de víctimas de lesiones dolosas;107;;;;;;;;;
1/1/2021;2021;Ayacucho;Total de víctimas de otros delitos contra la integridad sexual;6;;;;;;;;;
1/1/2021;2021;Ayacucho;Total de víctimas de violaciones;-;;;;;;;;;
1/1/2014;2014;Azul;Total de víctimas de homicidios dolosos;3;;;;;;;;;
1/1/2014;2014;Azul;Total de víctimas de lesiones dolosas;275;;;;;;;;;
1/1/2014;2014;Azul;Total de víctimas de otros delitos contra la integridad sexual;17;;;;;;;;;
1/1/2014;2014;Azul;Total de víctimas de violaciones;4;;;;;;;;;
1/1/2015;2015;Azul;Total de víctimas de homicidios dolosos;6;;;;;;;;;
1/1/2015;2015;Azul;Total de víctimas de lesiones dolosas;217;;;;;;;;;
1/1/2015;2015;Azul;Total de víctimas de otros delitos contra la integridad sexual;26;;;;;;;;;
1/1/2015;2015;Azul;Total de víctimas de violaciones;2;;;;;;;;;
1/1/2016;2016;Azul;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2016;2016;Azul;Total de víctimas de lesiones dolosas;78;;;;;;;;;
1/1/2016;2016;Azul;Total de víctimas de otros delitos contra la integridad sexual;2;;;;;;;;;
1/1/2016;2016;Azul;Total de víctimas de violaciones;4;;;;;;;;;
1/1/2017;2017;Azul;Total de víctimas de homicidios dolosos;6;;;;;;;;;
1/1/2017;2017;Azul;Total de víctimas de lesiones dolosas;68;;;;;;;;;
1/1/2017;2017;Azul;Total de víctimas de otros delitos contra la integridad sexual;7;;;;;;;;;
1/1/2017;2017;Azul;Total de víctimas de violaciones;5;;;;;;;;;
1/1/2018;2018;Azul;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2018;2018;Azul;Total de víctimas de lesiones dolosas;50;;;;;;;;;
1/1/2018;2018;Azul;Total de víctimas de otros delitos contra la integridad sexual;1;;;;;;;;;
1/1/2018;2018;Azul;Total de víctimas de violaciones;8;;;;;;;;;
1/1/2019;2019;Azul;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2019;2019;Azul;Total de víctimas de lesiones dolosas;88;;;;;;;;;
