subtipo,barrio,mes,anio,count
Robo total,BALVANERA,SEPTIEMBRE,2021,277
Robo total,BALVANERA,ENERO,2022,276
Robo total,ALMAGRO,MAYO,2018,276
Hurto total,BALVANERA,FEBRERO,2016,275
Hurto total,PALERMO,ABRIL,2017,275
Hurto total,PALERMO,AGOSTO,2018,275
Robo total,FLORES,ENERO,2019,275
Robo total,ALMAGRO,MAYO,2016,275
Hurto total,SAN NICOLAS,MARZO,2016,274
Hurto total,SAN NICOLAS,ABRIL,2019,274
Hurto total,SAN NICOLAS,AGOSTO,2018,274
Robo total,FLORES,ENERO,2023,273
Robo total,BALVANERA,ABRIL,2017,273
Amenazas,FLORES,AGOSTO,2016,273
Robo total,PALERMO,NOVIEMBRE,2020,273
Robo total,FLORES,SEPTIEMBRE,2023,272
Hurto total,BALVANERA,MARZO,2022,272
Hurto total,SAN NICOLAS,NOVIEMBRE,2016,272
Hurto total,SAN NICOLAS,DICIEMBRE,2016,272
Robo total,BALVANERA,OCTUBRE,2021,272
Hurto total,RECOLETA,DICIEMBRE,2023,272
Robo total,CABALLITO,JUNIO,2016,271
Hurto total,BELGRANO,DICIEMBRE,2023,271
Hurto total,SAN NICOLAS,NOVIEMBRE,2022,271
Robo total,FLORES,AGOSTO,2019,271
Robo total,RECOLETA,ENERO,2017,270
Robo total,PALERMO,MARZO,2020,270
Robo total,CABALLITO,NOVIEMBRE,2018,270
Robo total,ALMAGRO,OCTUBRE,2017,270
Hurto total,BALVANERA,OCTUBRE,2018,270
Robo total,CABALLITO,ENERO,2017,270
Robo total,RECOLETA,MARZO,2016,270
Hurto total,PALERMO,ENERO,2019,270
Robo total,RECOLETA,SEPTIEMBRE,2016,270
Robo total,ALMAGRO,SEPTIEMBRE,2023,270
Robo total,BALVANERA,MAYO,2017,269
Robo total,RECOLETA,NOVIEMBRE,2017,269
Hurto total,SAN NICOLAS,MAYO,2017,269
Robo total,BALVANERA,ENERO,2021,269
Robo total,RECOLETA,ABRIL,2017,268
Hurto total,PALERMO,MAYO,2018,268
Robo total,RECOLETA,MARZO,2023,268
Robo total,ALMAGRO,JULIO,2016,267
Robo total,FLORES,FEBRERO,2017,267
Hurto total,BALVANERA,JUNIO,2016,267
Robo total,VILLA LUGANO,AGOSTO,2018,267
Robo total,RECOLETA,FEBRERO,2016,267
Hurto total,PALERMO,DICIEMBRE,2020,267
Robo total,FLORES,MAYO,2022,266
Robo total,RECOLETA,JULIO,2023,266
Hurto total,SAN NICOLAS,OCTUBRE,2022,265
Hurto total,SAN NICOLAS,FEBRERO,2016,265
Hurto total,RECOLETA,SEPTIEMBRE,2022,265
Robo total,CABALLITO,ABRIL,2023,265
Robo total,ALMAGRO,AGOSTO,2017,265
Robo total,ALMAGRO,NOVIEMBRE,2017,264
Robo total,RECOLETA,AGOSTO,2023,264
Robo total,CABALLITO,OCTUBRE,2018,263
Robo total,FLORES,JUNIO,2018,263
Robo total,FLORES,ABRIL,2022,263
Hurto total,BALVANERA,ENERO,2019,263
Robo total,RECOLETA,MAYO,2017,263
Robo total,FLORES,JUNIO,2019,262
Amenazas,BOCA,ENERO,2016,262
Hurto total,RECOLETA,MARZO,2023,261
Robo total,RECOLETA,SEPTIEMBRE,2023,261
Robo total,RECOLETA,JULIO,2018,261
Robo total,RECOLETA,ABRIL,2016,261
Robo total,FLORES,NOVIEMBRE,2022,260
Robo total,RECOLETA,ABRIL,2019,260
Robo total,FLORES,MAYO,2019,260
Hurto total,BALVANERA,MAYO,2022,260
Amenazas,CONSTITUCION,FEBRERO,2016,260
Robo total,FLORES,SEPTIEMBRE,2017,260
Robo total,CABALLITO,ABRIL,2018,260
Hurto total,PALERMO,FEBRERO,2016,260
Robo total,RECOLETA,JUNIO,2016,260
