nombre_est,barrio
Esc. Normal Superior N° 02 en Lenguas Vivas Mariano Acosta,BALVANERA
Inst. de Educación Superior Mariano Acosta,BALVANERA
ESEA en Danza Ramicone Curso Vocacional de Folklore N° 06,BALVANERA
Esc. Normal Superior N° 08 Presidente Julio Argentino Roca (sede),SAN CRISTOBAL
Esc. Normal Superior N° 08 Pte. Julio Argentino Roca (anexo),SAN CRISTOBAL
Esc. Normal Superior N° 11 Dr. Ricardo Levene,PARQUE PATRICIOS
"Esc. para Niños, Niñas, Jóvenes y Adultos con Discapacidad Mental y Formación Integral N° 09 Dr L R Mac Kay",SAN CRISTOBAL
Esc. para Jóvenes y Adultos con Discapacidad Mental y Formación Integral N° 36 Dr. Aurelio Martínez,PARQUE PATRICIOS
Esc. Primaria Común N° 01 Chacabuco,PARQUE CHACABUCO
Esc. Integral Interdisciplinaria N° 06,PARQUE PATRICIOS
Centro de Formación Profesional N° 08 (sede),BOEDO
CENOF Centro Venezuela,BALVANERA
CENOF Centro Rincón de Venezuela,BALVANERA
Centro de Actividades Infantiles y Juveniles Club San Cristóbal,SAN CRISTOBAL
Centro Cultural Brasil - Argentina,MONTSERRAT
Instituto de Formación Técnica Superior N° 26,SAN CRISTOBAL
Esc. Primaria Común N° 15 Maestro Jorge Luis Chinetti,SAN CRISTOBAL
Jardín Maternal N° 07/06° Delfina Marull de Sarda,PARQUE PATRICIOS
Centro Educativo de Nivel Secundario N° 55,BALVANERA
Centro Educativo de Nivel Secundario N° 06,BALVANERA
Centro Educativo de Nivel Secundario N° 31,BALVANERA
Jardín de Infantes Nucleado C (EPCjs 08/06°) [Sede],BOEDO
Esc. Primaria Común N° 08 Almafuerte,BOEDO
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Infantil N° 10,BOEDO
Esc. Primaria Común N° 23 Provincia de Entre Rios,BOEDO
Centro de Formación Profesional N° 25 (anexo 3) - Instituto Belgrano,BALVANERA
Programa Contextos de Encierro Instituto Belgrano,BALVANERA
Inst. Pío IX,ALMAGRO
Inst. Superior del Prof. Don Bosco,ALMAGRO
Inst. Sta. María del Buen Ayre,ALMAGRO
